標題,作者,日期,推文顯示,推文數,連結,內文
[新聞] 余欣蓓推動「耳朵電影院」計畫　陪伴視障者聽電影,CCY0927,12/25,4,4,https://www.ptt.cc/bbs/movie/M.1766674456.A.22D.html,"https://www.cna.com.tw/news/acul/202512250120.aspx
幕後英雄1／余欣蓓推動「耳朵電影院」計畫　陪伴視障者聽電影

2025/12/25 14:27（12/25 15:01 更新）
https://i.urusai.cc/nVcF2.jpg
作家、有聲影像推動者余欣蓓今年7月到11月在全台5個地方6家電影院推動「耳朵電影院
－口述影像共融全國巡迴推廣計畫」，鼓勵視障者走進電影院，透過專業配音者的導聆，
讓視障者看電影時很快融入電影情境。（心陪有聲提供）中央社記者邱祖胤傳真 114年12
月25日

一部好的作品需要眾人通力合作，除了鎂光燈前表演者的努力，幕後人員的付出更是功不
可沒，也應該得到肯定，中央社推出「幕後英雄」專欄，每週三固定推出這些英雄的故事
。

（中央社記者邱祖胤台北25日電）想像盲人也能自在走進電影院，與明眼人一樣享受藝術
，今年首創「耳朵電影院」就在視障者間掀起討論，背後推動者、作家余欣蓓表示，希望
來看電影的人都有「被陪伴的感覺」。

余欣蓓接受中央社記者專訪表示，這項活動在文化部影視及流行音樂產業局支持下，今年
7月到11月在全台5個地方6家電影院推動「口述影像共融－全國巡迴推廣計畫」，分別播
映「周處除三害」、「我家的事」、「莎莉」、「夜校女生」、「乒乓男孩」等片。在她
所創辦「心陪有聲公司」夥伴的協助下，透過專業配音者的導聆，讓視障者看電影時沒有
斷裂感，很快就融入電影情境。

不少視障者給予余欣蓓的回饋讓她感動不已，「有一位父親知道有這項訊息時，問他的視
障兒子：『爸爸帶你去看電影好嗎？』兒子馬上點頭，這位父親馬上掉眼淚，因為他可以
幫孩子完成一項他未曾實現的夢想。」

也有視障者向余欣蓓表示，自己上次看電影已經是20年前，而且當時視力幾乎所剩無幾，
除了演員的對白及音效之外，其他影像對他而言完全是空白的，這次的口述影像幫他補足
了對畫面的想像。

本著對弱勢族群及女性處境的長期關注，余欣蓓總是能從小處著眼，去幫助更多需要幫助
的人，她說：「這得感謝我的母親，她是啟智學校的老師，我小時候就經常跟著她到學校
，和許多弱勢、年齡卻比我還大的孩子相處；此外家族有一位患有精神疾病的長輩。這一
切都讓我學會將心比心，以及懂得陪伴的心情。」

余欣蓓笑言自己的綽號是「弘願大師」，只要自己發願想做的事，她總是對身邊的人說出
口，然後就會有一群人幫她一起實現。事實上早在她的「口述影像」計畫之前，她先做了
「有聲書」，而且是一項跨國、跨域的龐大計畫。

大學念哲學系、研究所念中文系的余欣蓓，一路受到多位女性主義前輩的啟蒙，曾歷經女
書店、女學會等工作。2018年旅法期間為藏傳佛教上師作品「次第花開」製作有聲書，開
啟她以聲音介入閱讀的道路。2019年她以書寫陪伴思覺失調病友的經驗完成「大霧中人」
一書，獲得廣泛迴響，更因此書與九歌出版結緣，為旗下的台文小說「等路」製作有聲書
。

「我一開始想得很簡單，但實際上做起來非常複雜，你要找誰來念？這個人念得好不好？
華語轉成台語怎麼轉？音效配樂要怎麼做？」余欣蓓在邊錄邊學的情況學會了所有事，逐
漸做出口碑之後，也開始為公視「人生劇展」撰寫口述影像稿。

從「有聲書」到「口述影像」工作，余欣蓓始終一本初衷，堅持以「陪伴」的心情面對作
品，「口述影像的準則是不要過度評斷，把作品變成我們個人的作文，你還是要守住文本
，然後再現那個畫面，不能當成是個人的創作表現」。

余欣蓓特別對「口述影像」有一種使命感，認為是項落實文化平權的實際行動，「視障朋
友透過走出家門、進入電影院的儀式感，真正走入社會、參與社會，這是一件很有意義的
事」。她期待更多人支持這項計畫，也讓更多視障者願意走進電影院「聽」電影。（編輯
：張雅淨）1141225
https://i.urusai.cc/xnMVN.jpg
今年7月到11月間舉辦的「耳朵電影院－口述影像共融全國巡迴推廣計畫」，在全台5個地
方6家電影院放映「有聲影像」，不少視障者走進電影院，欣賞這些特別為他們準備的影
像，感受完整的觀影經驗。（心陪有聲提供）中央社記者邱祖胤傳真 114年12月25日"
N/A (本文已被刪除),-,12/25,0,0,N/A,N/A
[新聞] 受爭議的《星際過客》獲NASA太空人好評！,XDGEE,12/25,34,34,https://www.ptt.cc/bbs/movie/M.1766677607.A.524.html,"受爭議的《星際過客》獲NASA太空人好評！

由好萊塢女星珍妮佛‧勞倫斯主演的科幻電影《星際過客》（Passengers，陸譯：太空旅
客，2016）雖然評價褒貶不一，但因為其內容呈現了真實的科學現象，得到NASA太空人的
好評。

太空人克里斯‧哈德菲爾德（Chris Hadfield）是第一個執行太空漫步的加拿大人。2020
年，他談到《星際過客》中的星際太空船以旋轉方式來製造人工重力，來讓珍妮佛‧勞倫
斯（Jennifer Lawrence）扮演的角色可以自由移動時，他向《浮華世界》（Vanity Fair
）

（點這）說：「你總不能一直處於失重狀態。試想如果你的寶寶是在無重力環境下受孕、
發育並成長的，會變成什麼樣子？他們的身體肯定無法正常發育。」

哈德菲爾德談到在太空中如何製造真的重力：「若附近沒有行星（給予重力），該如何製
造重力？當然，其中一種法子，就像我們在小型實驗中用離心機高速旋轉那樣。你可以讓
整艘太空船高速旋轉，這樣大家就被離心力甩在船艙內的最外側，這種感覺就跟重力一樣
了

。」

他繼續說：「如果你關掉旋轉動力，它還是會旋轉很長一段時間。實際上沒什麼東西會減
慢它的轉速，這就是《星際過客》裡的一個重要場景。太空船出問題了，停止了旋轉，所
以，大家就變成像當今國際太空站那樣飄起來了。」

但由於《星際過客》中，勞倫斯在太空船壞掉沒多久，船體旋轉很快就停了，她就飄了起
來。哈德菲爾德認為這點就有點怪，他說：「我不確定為什麼太空船斷電後就突然慢了下
來。其實，你得給太空船裝超大煞車，這樣才能讓整艘船停止旋轉。我不明白為何船體衝
進

小行星帶時沒繼續旋轉，但要是真那樣的話，那故事就沒這麼精彩了。」

哈德菲爾德接著談到片中一個特效場景把太空失重狀態描述的很好。那一幕中，勞倫斯扮
演的角色在泳池中游泳時，突然太空船壞了，人工重力突然失效，把她困在一大顆漂浮的
水泡中。

哈德菲爾德說：「假設飛船停止自轉，大家處於失重狀態，其中一個角色正在泳池裡。無
重力，水會變成什麼樣子？在國際太空站上，我們總愛玩水。你往空中噴水，水滴就會飄
浮在你面前。但因為表面張力因素，水滴自然變成了完美的球形，那是水最容易形成的形
狀

。」

「假設你有個泳池是靠重力穩定住的，」哈德菲爾德繼續說，「然後太空船的旋轉減慢，
重力沒了，那水會因為慣性而晃動。但後來，水流幾乎就像一個巨大的液滴，然後會緩緩
地凝聚成一顆球。我認為這場景的效果呈現得相當出色。」

在片中，還有一幕是勞倫斯被困在水泡中努力想遊出去呼吸，還差點死掉。哈德菲爾德談
到這裡時說：「最奇怪的是，若當時你身處水中，又該如何判斷游向何處？如果沒有了上
下的區分，那水面究竟在哪個方向呢？」

哈德菲爾德補充說：「假設太空船上真的有游泳池的話，那麼那一幕確實非常逼真又準確
。不過，這幕處理方式還有點牽強，因為想讓太空船再轉起來，然後產生離心力，水才會
被甩壓回游泳池內。但要讓靜止的太空船，那麼巨大的金屬物體再重新轉起來，這就要花
非

常大的力量和時間。」

哈德菲爾德還說：「現實中絕對不是像電影中那樣，然後砰一聲瞬間重力就重新恢復了。
就像電影裡演的重力就如開關一樣，突然重力就來了大家都摔到地板上。但如果真實呈現
，就無法營造出視覺衝擊力，更無法讓那位年輕女船員在還有最後一口氣時衝出水面活下
來

啦。」

據Box Office Mojo統計，《星際過客》的製作成本為1.1億美元，全球票房收入為3.03億
美元。在評分方面，美國網路電影資料庫（IMDb）滿分為十分，截至今日，獲得觀眾7.0
的佳評；影評網站「爛番茄」影評員與觀眾分別給予30%及63%褒貶不一的新鮮度。

《星際過客》劇情描述未來世界人類已步入先進科技，家園移民公司開發其他星球成為地
球殖民地，並發展可航行星際旅程的太空船；為防止時間在航行中流逝，旅客會在休眠艙
裡冬眠，航行120年後展開全新生活。吉姆（克里斯‧普瑞特 飾）的休眠艙因不明原因，
竟

在抵達前90年提早開啟。

吉姆在意外甦醒的一年內，用盡所有方法卻無法回到休眠艙，心灰意冷的他遇上了沉睡的
奧蘿拉（勞倫斯 飾）。吉姆和奧蘿拉被困在移民的星艦船內，無法自拔地愛上了彼此，
於此同時，移民星艦開始漸漸崩解，他們必須找出提早甦醒的原因，試圖拯救移民星艦面
臨沉

沒於宇宙的悲劇。
https://www.epochtimes.com/b5/25/12/24/n14661659.htm"
[新聞]《復聯5》第二支預告！雷神索爾回歸！,XDGEE,12/25,0,0,https://www.ptt.cc/bbs/movie/M.1766677649.A.835.html,"《阿凡達：火與燼》再曝《復仇者聯盟5：末日崛起》第二支前導預告！　雷神索爾回歸
黑暗與父性主題

漫威影業近日釋出《復仇者聯盟：末日崛起》第二支前導預告，目前已在戲院中、隨《阿
凡達：火與燼》（Avatar: Fire and Ash）放映前登場。與首支預告聚焦史蒂夫·羅傑斯
不同，這次鏡頭轉向由克里斯·漢斯沃（Christopher Hemsworth）飾演的「雷神索爾」
，展現

一種久違的沉鬱與內省氣質，引發粉絲熱烈討論。

在最新畫面中，索爾向已故父親、由安東尼·霍普金斯

（Anthony Hopkins）斯飾演的奧丁祈禱，懇求能再見到自

己的養女。獨白中，他放下王冠、榮耀與戰爭，只求命運

能多給他一些時間，呈現出一位飽經失敗、背負失落的父親形象。

這樣的設定，也暗示新阿斯嘉正籠罩在不安與黑暗之中。

不少觀察指出，這支前導最大的亮點，在於索爾終於脫離近

年過度喜劇化的描寫，重新回到兼具威嚴與悲劇感的狀態。

回顧MCU發展，索爾的角色基調長期搖擺不定，早期《雷神索爾》

系列偏向戲劇性與史詩感，到了《雷神索爾：諸神黃昏》

（Thor: Ragnarok）與《雷神索爾：愛與雷霆》（Thor: Love and Thunder），

則大幅轉向搞笑風格，雖帶來娛樂效果，卻也屢遭批評削弱情感重量。

相較之下，2018年的《復仇者聯盟：無限之戰》（Avengers: Infinity War）

被視為索爾塑造最成功的一次，完整描寫他面對失敗與責任的內心掙扎。

此次《末日崛起》由羅素兄弟回歸執導，並由《洛基》影集編劇麥可·沃卓倫

（Michael Waldron）共同參與劇本，被外界認為有望延續《無限之戰》的成熟調性。

雖然目前仍難以從短短一分鐘的預告判斷索爾在整體劇情中的份量，以及他與由小勞勃·
道尼（Robert Downey Jr.）飾演的末日博士之間的衝突細節，但這支前導已成功為角色
翻轉形象，釋放出正面訊號。

對長期期待嚴肅版索爾回歸的影迷而言，《復仇者聯盟：末日崛起》或許正象徵雷神角色
的一次關鍵修正與重生。
https://www.toy-people.com/?p=106275"
[負雷] 阿凡達3火與燼  別再拍了,boyo,12/26,11,11,https://www.ptt.cc/bbs/movie/M.1766679133.A.748.html,"崩潰   見好就收很難嗎?


~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~


















~~~~~~~~~~~~~~~~~~~ 雷文 主文分隔線 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~


老實說整個構造跟十幾年前的第一集差不多，

壞人(地球人)入侵 -> 中間各種八點檔 -> 好人整隊對決壞人 ->  眼看要輸了祭司之類的放地圖砲 -> 壞人GG

我沒看第二集，不過我猜劇情應該差不多。

就跟星戰789，神鬼戰士2一樣，這導演大概也步上了他們的後塵。

再怎麼神的ip，老梗一直出，有些畫面根本嚴重參考第一集吧，真的會膩。

第一集真的是神作，各種劇情加上絕美3D特效。唉。

今年應該看到這邊了，拜在家旁邊的影城終於蓋好之賜，多看了不少電影。

最有創意的，還是終極戰士殺戮星球，強烈推薦。"
[爛片雷] 大蟒蛇,sam812,12/26,3,3,https://www.ptt.cc/bbs/movie/M.1766679956.A.38D.html,"看完只覺得浪費錢，不用看

要搞笑沒有，只有一個背野豬的片段還直接寫在新聞稿當看點。

要劇情也沒有、驚悚刺激也幾乎沒有，不太懂這部片的定位到底是什麼？

這部片的編劇、導演是跟現在的社會有多脫節？
索尼到底有沒有拍過完整的電影？
索尼真的根本是爛片大公司！

如果說Netflix毀了電影院，那這種大爛片才應該負90%的責任，一張電影票可以訂一個月
會員，誰還要去浪費時間浪費錢！"
[請益]阿凡達3 人類為什麼不用高空炸彈解決?,JessicaKuo,12/26,9,9,https://www.ptt.cc/bbs/movie/M.1766682518.A.CF2.html,"不知道阿凡達3是幾年 假設2200年

光是現在就很多高空武器...你說導彈受磁場影響

那轟炸機直接飛到沒有空氣的高度 隨便丟 也能炸死要炸的東西

怎麼可能低空跟那美人打肉搏戰

阿凡達1說不知道也就算了

都輸過一次 還在搞人類操控的肉搏戰

應該都要機器人 無人機 細菌戰 病毒戰 遠距離戰爭 生化戰

導彈 衛星武器 怎樣都不可能輸...總歸一句 阿凡達3的人類實在太弱了

阿凡達1的人類上校還強一點"
Re: [討論] 古惑仔系列為何不繼續拍下去？,smalla0717,12/26,5,5,https://www.ptt.cc/bbs/movie/M.1766683899.A.B9C.html,"※ 引述《ArkingChen (阿扁巴巴大俠)》之銘言：
: ※ 引述《lucky70121 ( )》之銘言：
: : 首先我知道 鄭伊健不想再演陳浩南
: : 但是龍爭虎鬥之後 還陸續拍了很多外傳
: : 2000年也拍了勝者為王
: : 更別說還有換角色的新古惑仔
: : 那為何不繼續跟著原著拍下去
: : 我後來有去追原著 後面的故事才精彩 竟然不拍？
: : 陳浩南跟山雞反目成仇 還有後來山雞死了
: : 陳浩南也沒好下場 這才是真正要拍的電影
: : 讓大家知道 混黑社會的最終都沒好下場
: : 這才是電影帶給社會正面的意義吧
: : 而不是讓觀眾認為混黑社會就是 夠屌 威風 英雄主義
: : 這樣根本就是本末倒置
: 有得拍，沒人會跟錢過不去。
: 《古惑仔之人在江湖》票房2100萬港幣
: 《古惑仔2之猛龍過江》票房2200萬港幣
: 《古惑仔3之隻手遮天》票房1900萬港幣
: 《97古惑仔之戰無不勝》票房1500萬港幣
: 《98古惑仔之龍爭虎鬥》票房1200萬港幣
: 《勝者為王》票房770萬港幣
: 拍了6集邊際效應遞減，都已經北風北了，誰還想當冤大頭啊。
因為人會老 時代會變

97以前看的黑幫電影叫《古惑仔》
97以後看的黑幫電影叫《黑社會》
黑社會已經從個人英雄主義升級為政治遊戲了

以前看古惑仔很屌很潮
有大半是拍香港生活發生的故事
就像角頭電影我們會自動帶入地方宮廟的感覺

至於2010之後香港幾乎沒什麼黑幫電影
這又是另外一個故事了"
N/A (本文已被刪除),-,12/26,0,0,N/A,N/A
[好無雷] 《橫衝直闖》,nobady98,12/26,3,3,https://www.ptt.cc/bbs/movie/M.1766689141.A.B37.html,"https://i.imgur.com/1U8P0Jp.jpeg
又要一張圖用兩次了

這是一部敘述一個人為了自己的夢想
而拋棄許多事物的故事
就跟我在看龐波小姐時一樣
為了專注在某件自己所專情的事情上
所以要拋棄一切
甚至是不得不的手法
不道德的手法

這部電影拍的很像是真人實事的傳記一樣
然而我剛才查了才知道是虛構故事
編劇很厲害
整體節奏很緊湊
就跟主角的個性一樣
幾乎一刻都不得閒
有點過於緊湊而導致無法順利呼吸
就跟像在看實際運動員比賽一樣
非常刺激

我覺得這部很不錯
然而我昨天剛複習完龐波小姐
我個人是更喜歡龐波小姐就是了
畢竟這部有些部分
不知道該怎麼說呢
我不會推薦給朋友去看就是了
主要是在於主角的行為
實在是有些太超過了
可能一般人會覺得很難接受

還有一個
後面日文主持人說的話都沒翻譯
我覺得有點可惜
畢竟自己聽得懂八成
就會覺得那些實況的話翻出來的話
對戰況和劇情理解會更有幫助"
[普無雷] 《大蟒蛇》這是一部逐夢的電影,nobady98,12/26,0,0,https://www.ptt.cc/bbs/movie/M.1766691139.A.F2E.html,"https://i.imgur.com/1U8P0Jp.jpeg
威秀排的時間真好啊
我橫衝直闖一看完就立刻趕到大蟒蛇的影廳
一進去剛好在觀影前須知的部分

我這個人是沒看過就不評論的人
就算有人說這片多麼難看
我沒親自看過我就絕對不去評論

至於這片
他很早就說了
「這是一部逐夢的電影」
當然除了戲內在拍的電影外
也是在影射這一部作品
不是什麼恐怖片
而是一部逐夢的電影

要是以前的我
或許會給這部一個負雷的評價
但看過一部電影的本質後
我反而想給個好雷

因為這部電影的主線是「拍電影」
旁線才是「大蟒蛇」
而且是很標準的劇本範本

從一般角度來看
這片的轉折也算是精彩
搞笑的橋段也都有好好發揮出來
全程也幾乎沒有什麼尿點
最大的缺點就是片長可以再縮短一點

更深一點看這部電影
就會發現他們幾乎都不離開「攝影」的機會
因為主線就是「拍電影」
而且是從小的夢想
大家也都豁出去拍這一部作品
某種意義上來說
跟《橫衝直闖》有相似之處

但很抱歉
我是連著看的
這部片明顯不如《橫衝直闖》
所以我只能給下一階的普雷了"
[討論] 本週電影短評討論串(2025/12/26)(禁爆雷,nobady98,12/26,2,2,https://www.ptt.cc/bbs/movie/M.1766695745.A.779.html,"https://www.atmovies.com.tw/movie/new/
海綿寶寶電影版：尋寶大冒險 The SpongeBob Movie: Search for SquarePants
大蟒蛇 Anaconda
陽光女子合唱團 Sunshine Women Choir
那張照片裡的我們 The Photo from 1977
大衛：王者降臨 David(2025)
橫衝直闖 Marty Supreme
血降 Penjagal Iblis: Dosa Turunan
東京計程車 Tokyo Taxi
佐賀偶像是傳奇 夢幻銀河樂園 Zombie Land Saga: Yumeginga Paradise
時間暫停的季節 Suspended Time

以及其他你想討論的電影"
[負雷] 阿凡達3火與燼 又一部DEI腦弱政治正確作品,PosetMage,12/26,21,21,https://www.ptt.cc/bbs/movie/M.1766709103.A.EF6.html,"雷文防雷資訊頁



先說一句  去你媽的信義威秀   昨天跟女朋友去取票  提早到了還是被遲到

因為六台取票機只有兩台能用  另外四台壞掉  這種節日取票機壞四台

進座位前馬的退錢啦幹...  看完電影後 也不用退錢了  垃圾劇情少看少不爽

~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~



~~~~~~~~~~~~~~~~~~~ 雷文 主文分隔線 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~


首先 劇本跟最後生還者2一樣  是""教育大作""    編劇毫無基本的常識

再者 鏡頭語言根本智障鏡頭  一堆遊戲視角邏輯   我是來看電影還是來看實況


劇本腦殘的地方  NPC一定會等到主角行動  才會有下一步劇情

主角又在喊寬恕  一直想渡化上校  北七   男主角跟女主角智商下線 只會當狂戰士


再隨便講智障的地方  要濫殺生物  說殺了後面環境可以獲利一千億美金

我整個笑出來  大哥你們那艘大的就不只一千億了

喔 好像有可能很便宜喔  你們戰艦的敵我辨識系統認不出ID  只看放行/不放行



好戰一族的女老大   前面驍勇善戰  可以一對多戰鬥  結果被小妹妹抓到頭髮連結神經

突然不會打架了


猴子也蠻智障的一開始搭船的時候氧氣罩快沒了也不拿備用的放身上

結果後面才說備用氧氣罩在船上   那你他媽剛剛為什麼不先換新的



其他一堆解釋性台詞   愛好殺戮的人絕對會等主角來救援.....


遲到也好  少吃兩口大便"
[閒聊] 保羅路德以前原來有拍過香港電影,teramars,12/26,2,2,https://www.ptt.cc/bbs/movie/M.1766713051.A.439.html,"就是前幾天在電影台看到的

當時正在播的是《特警新人類2》
由 陳冠希 馮德倫  李燦森  主演
https://i.meee.com.tw/hNYEInw.jpg
看到裡面有一個外國演員 看起來很面熟
https://i.meee.com.tw/BBjVlMR.jpg
https://i.meee.com.tw/E6mDjcv.jpg
查了一下這部電影參與演出的演員才發現

居然是 保羅路德 ！！！！

沒想到他以前居然有拍過香港電影

而且不得不說 年輕時候的保羅路德還蠻帥的
https://i.meee.com.tw/xnb64MB.jpg
https://i.meee.com.tw/0JdU0Bj.jpg"
Re: [討論] 古惑仔系列為何不繼續拍下去？,ultmisia,12/26,4,4,https://www.ptt.cc/bbs/movie/M.1766713242.A.3E5.html,": 97以前看的黑幫電影叫《古惑仔》
: 97以後看的黑幫電影叫《黑社會》
《古惑仔》漫畫已是這走向了
這裡我想幫丁瑤喊冤一下：

丁瑤是一個好女人。

她沒有嫁給一個老頭子，在原著裡面三聯幫是香港社團，跟丁瑤一點關係都沒有，

跟丁瑤有關係的是""毒蛇幫""，現在是漫畫裡的台灣第一大幫，

丁瑤跟毒蛇幫之所以有關係也不是因為她當了誰誰誰的情婦，

她跟毒蛇幫有關係只因為她的哥哥是毒蛇幫前任幫主。



說到山雞這混帳我就氣，

他媽的自己桶了簍子，搞到馬英九跟蕭萬長發動""清毒專案""，利用政府勢力圍剿毒蛇幫，

這整件事還不是丁瑤幫忙扛下來??

丁瑤跑去跟蕭萬長的姪子蕭公子談條件，讓蕭公子睡了她一晚，

犧牲這麼大終於讓清毒專案雷聲大雨點小讓蕭公子河蟹掉，

山雞地位保住了卻因為這件事反而疏遠丁瑤，

她奶奶的人家丁瑤給你吃給你住給你兄弟給你錢跟事業，

還在你社團裡面任勞任怨充當總會計，甚至晚上還讓你睡，

你把社團搞到快掛了還願意犧牲貞操救你小命，

結果你就這樣對待你老婆??說這個山雞中二還真是沒說錯。



電影跟漫畫完全是反過來的，

電影裡面丁瑤只是利用山雞，而山雞則是很愛丁瑤，

漫畫原著裡面丁瑤愛山雞愛的要死，愛到深處無怨尤，

反而山雞之所以遠離丁瑤只因為他覺得他的男性尊嚴受到侮辱，

疏離丁瑤之後還是夜夜笙歌，藉著過人體力跟大把女人OOXX，

連女兒趙縈都因為她跟媽媽丁瑤很像所以疏遠她。



幹!!她你女兒耶!!只因為長得像媽媽所以就不理她了??

這種不叫做禽獸，叫做罹患重度中二病的禽獸，

只能說丁瑤愛到卡慘死。



現在山雞自己愛去搞洪興搞到被洪興請泰國人暗殺了

丁瑤還在收他的爛攤子，

山雞兒子當毒蛇幫主，毒蛇幫也多虧靠背後這位丁大姐撐了十五年。

丁瑤應該是改編作品被抹黑得最嚴重的吧！(攤手)"
